9440.66,7880.34,9240.85,9294.54,9690.77,7191.43,7673.28,9188.8,7472.21,8438.89,
451.411,508.971,408.618,465.092,631.847,618.154,511.57,542.573,323.809,500.648,
276.194,362.297,322.148,575.587,329.538,422.359,319.32,311.347,649.591,352.938,
6.91293,7.23911,7.01264,6.69603,7.03755,6.92429,6.89358,7.37278,6.69252,7.17136,
8343.61,9194.7,7900.8,9620.35,7491.6,7733.6,9327.04,9716.59,6744.14,9822.64,
469.878,302.701,343.041,522.026,608.288,402.579,294.385,277.609,443.927,293.976,
360.546,638.841,612.839,593.35,371.333,475.109,412.579,558.895,464.763,523.735,
6.93161,6.43928,6.83764,7.33184,7.33081,7.12095,6.68429,7.13853,7.03998,6.75405,
8907.51,7080.91,8040.37,9580.26,9402.2,7656.18,7301.39,9626.8,7726.26,8903.34,
633.458,493.683,519.776,596.297,437.033,621.109,421.406,579.611,530.003,616.169,
453.346,352.013,631.096,619.649,326.111,604.804,513.611,434.142,505.447,376.803,
7.186,6.70746,6.84703,6.62611,6.58753,6.67623,6.95644,6.8165,6.56961,7.3068,
6861.1,6941.26,8234.05,9161.66,9946.63,9772.51,8895.56,7841.16,9124.2,7790.32,
381.781,358.259,492.106,362.877,327.908,548.216,317.68,571.519,332.359,553.127,
298.321,631.04,289.961,468.194,336.96,361.224,573.163,548.409,519.494,637.614,
7.03946,7.15973,6.49348,6.5349,6.92021,6.47823,6.46991,6.60466,6.86142,7.21968,
8506.62,9144.53,6681.79,7052.32,9999.98,7215.15,9614.84,6939.14,9992.3,6689.2,
600.805,297.485,271.581,620.766,495.679,338.541,331.99,418.842,616.95,581.484,
406.456,479.944,490.183,441.979,531.207,307.863,471.707,557.772,385.632,647.047,
6.97697,7.27761,7.14781,7.02891,6.43542,7.1478,7.23324,7.32538,7.27327,7.23104,
9928.02,9103.34,9661.78,9942.59,8834.08,8240.4,7073.89,9405.04,9611.32,6769.48,
516.889,364.257,509.202,357.072,536.236,390.41,394.935,357.943,298.181,510.567,
354.989,517.43,464.061,639.157,376.416,477.521,543.322,313.047,449.164,495.165,
7.34432,6.85092,6.73635,7.24768,6.83451,6.40323,6.74494,6.99848,7.23324,6.63389,
8864.17,8190.33,8186.78,7567.34,8992.31,7138.95,8676.38,6643.03,7948.94,8935.94,
526.096,512.303,401.904,340.157,501.46,508.32,547.677,394.782,551.367,346.841,
619.947,530.207,518.19,367.761,472.328,303.305,368.989,603.406,530.727,305.621,
6.51128,6.7616,6.97669,6.99321,7.06656,6.68878,7.17577,6.68838,6.72964,6.58975,
9945.27,6512.53,9395.87,7660.18,7158.7,8027.74,9855.23,9716.26,9177.05,8946.76,
316.034,530.599,415.856,564.224,628.359,618.184,597.529,347.348,571.59,478.256,
382.97,613.874,615.664,602.112,459.295,488.956,331.848,374.086,598.54,457.112,
6.86366,7.24894,6.89598,6.69105,6.58042,7.08418,7.12755,6.53906,7.00311,6.89242,
84.6227,73.8039,21.9297,26.0867,52.3599,16.5196,18.1327,39.242,35.8567,93.5301,
